name,sentence_id,new_name,,
Wizard,706,Wizard of Oz,,
Sorcerer,709,Sorcerers,,
Gwig,709,Gwig,,
Wizard,712,Wizard of Oz,,
Wizard,717,Wizard of Oz,,
Zeb,720,Zebediah,,
Dorothy,722,Dorothy the Lamb,,
Wizard,724,Wizard of Oz,,
Wizard,727,Wizard of Oz,,
Wizard,729,Wizard of Oz,,
Wizard,734,Wizard of Oz,,
Sorcerer,734,Sorcerers,,
Wizard,736,Wizard of Oz,,
Jim,736,Jim the Cab-horse,,
Eureka,736,Eureka the Pink Kitten,,
Dorothy,736,Dorothy the Lamb,,
Wizard,742,Wizard of Oz,,
Eureka,742,Eureka the Pink Kitten,,
Jim,743,Jim the Cab-horse,,
Eureka,746,Eureka the Pink Kitten,,
Mangaboos,747,Mangaboos,,
Jim,750,Jim the Cab-horse,,
Mangaboos,751,Mangaboos,,
Jim,753,Jim the Cab-horse,,
Eureka,753,Eureka the Pink Kitten,,
Mangaboos,754,Mangaboos,,
Jim,757,Jim the Cab-horse,,
Jim,758,Jim the Cab-horse,,
Jim,762,Jim the Cab-horse,,
Eureka,763,Eureka the Pink Kitten,,
Mangaboos,763,Mangaboos,,
Jim,765,Jim the Cab-horse,,
Eureka,765,Eureka the Pink Kitten,,
Mangaboos,765,Mangaboos,,
Mangaboos,768,Mangaboos,,
Jim,770,Jim the Cab-horse,,
Wizard,772,Wizard of Oz,,
Dorothy,773,Dorothy the Lamb,,
Eureka,773,Eureka the Pink Kitten,,
Mangaboos,776,Mangaboos,,
Eureka,777,Eureka the Pink Kitten,,
Dorothy,779,Dorothy the Lamb,,
Wizard,780,Wizard of Oz,,
Zeb,780,Zebediah,,
Jim,780,Jim the Cab-horse,,
Wizard,781,Wizard of Oz,,
Zeb,781,Zebediah,,
Dorothy,782,Dorothy the Lamb,,
Jim,782,Jim the Cab-horse,,
Mangaboos,785,Mangaboos,,
Wizard,787,Wizard of Oz,,
Jim,787,Jim the Cab-horse,,
Dorothy,789,Dorothy the Lamb,,
Zeb,789,Zebediah,,
Wizard,789,Wizard of Oz,,
Dorothy,793,Dorothy the Lamb,,
Zeb,795,Zebediah,,
Wizard,797,Wizard of Oz,,
Zeb,801,Zebediah,,
Dorothy,803,Dorothy the Lamb,,
Dorothy,805,Dorothy the Lamb,,
Wizard,805,Wizard of Oz,,
Wizard,807,Wizard of Oz,,
Jim,809,Jim the Cab-horse,,
Jim,810,Jim the Cab-horse,,
Zeb,810,Zebediah,,
Wizard,810,Wizard of Oz,,
Dorothy,810,Dorothy the Lamb,,
Jim,812,Jim the Cab-horse,,
Dorothy,813,Dorothy the Lamb,,
Zeb,815,Zebediah,,
Jim,816,Jim the Cab-horse,,
Zeb,816,Zebediah,,
Jim,819,Jim the Cab-horse,,
Jim,832,Jim the Cab-horse,,
Dorothy,834,Dorothy the Lamb,,
Eureka,834,Eureka the Pink Kitten,,
Zeb,835,Zebediah,,
Wizard,837,Wizard of Oz,,
Jim,839,Jim the Cab-horse,,
Eureka,840,Eureka the Pink Kitten,,
Wizard,840,Wizard of Oz,,
Dorothy,841,Dorothy the Lamb,,
Jim,845,Jim the Cab-horse,,
Dorothy,847,Dorothy the Lamb,,
Zeb,849,Zebediah,,
Dorothy,850,Dorothy the Lamb,,
Wizard,853,Wizard of Oz,,
Wizard,857,Wizard of Oz,,
Wizard,864,Wizard of Oz,,
Eureka,870,Eureka the Pink Kitten,,
Dorothy,870,Dorothy the Lamb,,
Dorothy,872,Dorothy the Lamb,,
Wizard,874,Wizard of Oz,,
Dorothy,884,Dorothy the Lamb,,
Zeb,884,Zebediah,,
Wizard,884,Wizard of Oz,,
Dorothy,886,Dorothy the Lamb,,
Wizard,890,Wizard of Oz,,
Wizard,894,Wizard of Oz,,
Wizard,897,Wizard of Oz,,
Wizard,900,Wizard of Oz,,
Dorothy,907,Dorothy the Lamb,,
Zeb,908,Zebediah,,
Wizard,909,Wizard of Oz,,
Zeb,912,Zebediah,,
Dorothy,913,Dorothy the Lamb,,
Jim,915,Jim the Cab-horse,,
Jim,920,Jim the Cab-horse,,
Dorothy,922,Dorothy the Lamb,,
Wizard,928,Wizard of Oz,,
Dorothy,931,Dorothy the Lamb,,
Dorothy,937,Dorothy the Lamb,,
Ianu,944,Ianu,,
Dorothy,945,Dorothy the Lamb,,
Ianu,946,Ianu,,
Dorothy,947,Dorothy the Lamb,,
Dorothy,949,Dorothy the Lamb,,
Zeb,954,Zebediah,,
Wizard,958,Wizard of Oz,,
Eureka,960,Eureka the Pink Kitten,,
Jim,960,Jim the Cab-horse,,
Dorothy,961,Dorothy the Lamb,,
Dorothy,962,Dorothy the Lamb,,
Eureka,962,Eureka the Pink Kitten,,
Eureka,965,Eureka the Pink Kitten,,
Dorothy,966,Dorothy the Lamb,,
Eureka,968,Eureka the Pink Kitten,,
Dorothy,971,Dorothy the Lamb,,
Eureka,971,Eureka the Pink Kitten,,
Dorothy,974,Dorothy the Lamb,,
Wizard,976,Wizard of Oz,,
Dorothy,979,Dorothy the Lamb,,
Wizard,980,Wizard of Oz,,
Zeb,984,Zebediah,,
Overman-Anu,986,Overman-Anu,,
Gargoyles,986,Gargoyles,,
Dorothy,987,Dorothy the Lamb,,
Nome King,988,Roquat of the Rocks,,
Wizard,989,Wizard of Oz,,
Zeb,991,Zebediah,,
Zeb,992,Zebediah,,
Zeb,993,Zebediah,,
Sorcerer,994,Sorcerers,,
Gargoyles,996,Gargoyles,,
Champion,997,Champion,,
Champion,998,Champion,,
Wizard,999,Wizard of Oz,,
Dorothy,1000,Dorothy the Lamb,,
Jim,1007,Jim the Cab-horse,,
Wizard,1010,Wizard of Oz,,
Zeb,1010,Zebediah,,
Dorothy,1011,Dorothy the Lamb,,
Jim,1011,Jim the Cab-horse,,
Dorothy,1013,Dorothy the Lamb,,
Wizard,1024,Wizard of Oz,,
Dorothy,1024,Dorothy the Lamb,,
Zeb,1025,Zebediah,,
Jim,1025,Jim the Cab-horse,,
Wizard,1029,Wizard of Oz,,
Dorothy,1029,Dorothy the Lamb,,
Eureka,1029,Eureka the Pink Kitten,,
Wizard,1030,Wizard of Oz,,
Zeb,1030,Zebediah,,
Jim,1030,Jim the Cab-horse,,
Wizard,1032,Wizard of Oz,,
Jim,1032,Jim the Cab-horse,,
Zeb,1033,Zebediah,,
Dorothy,1033,Dorothy the Lamb,,
Wizard,1034,Wizard of Oz,,
Dorothy,1039,Dorothy the Lamb,,
Wizard,1040,Wizard of Oz,,
Jim,1040,Jim the Cab-horse,,
Dorothy,1041,Dorothy the Lamb,,
Wizard,1043,Wizard of Oz,,
Zeb,1044,Zebediah,,
Jim,1044,Jim the Cab-horse,,
Dorothy,1045,Dorothy the Lamb,,
Eureka,1045,Eureka the Pink Kitten,,
Dorothy,1046,Dorothy the Lamb,,
Jim,1049,Jim the Cab-horse,,
Wizard,1049,Wizard of Oz,,
Zeb,1052,Zebediah,,
Jim,1052,Jim the Cab-horse,,
Dorothy,1053,Dorothy the Lamb,,
Zeb,1054,Zebediah,,
Jim,1054,Jim the Cab-horse,,
Wizard,1055,Wizard of Oz,,
Dorothy,1057,Dorothy the Lamb,,
Zeb,1058,Zebediah,,
Jim,1059,Jim the Cab-horse,,
Wizard,1059,Wizard of Oz,,
Zeb,1059,Zebediah,,
Dorothy,1060,Dorothy the Lamb,,
Jim,1063,Jim the Cab-horse,,
Jim,1069,Jim the Cab-horse,,
Dorothy,1069,Dorothy the Lamb,,
Zeb,1073,Zebediah,,
Jim,1074,Jim the Cab-horse,,
Wizard,1075,Wizard of Oz,,
Dorothy,1077,Dorothy the Lamb,,
Wizard,1077,Wizard of Oz,,
Jim,1077,Jim the Cab-horse,,
Zeb,1077,Zebediah,,
Wizard,1078,Wizard of Oz,,
Jim,1081,Jim the Cab-horse,,
Dorothy,1090,Dorothy the Lamb,,
Zeb,1091,Zebediah,,
Dorothy,1092,Dorothy the Lamb,,
Zeb,1097,Zebediah,,
Wizard,1100,Wizard of Oz,,
Dorothy,1105,Dorothy the Lamb,,
Wizard,1111,Wizard of Oz,,
Wizard,1114,Wizard of Oz,,
Wizard,1116,Wizard of Oz,,
Dorothy,1122,Dorothy the Lamb,,
Wizard,1129,Wizard of Oz,,
Wizard,1131,Wizard of Oz,,
