name,sentence_id,title,first,middle,last,suffix,nickname,gender
Jim,1287,none,Jim,none,none,none,none,male
Dorothy,1289,none,Dorothy,none,none,none,none,female
Zeb,1290,none,Zeb,none,none,none,none,male
Zeb,1292,none,Zeb,none,none,none,none,male
Wizard,1293,none,Wizard,none,none,none,none,male
Jim,1295,none,Jim,none,none,none,none,male
Gargoyles,1297,none,Gargoyles,none,none,none,none,male
Dorothy,1298,none,Dorothy,none,none,none,none,female
Wizard,1299,none,Wizard,none,none,none,none,male
Zeb,1300,none,Zeb,none,none,none,none,male
Eureka,1301,none,Eureka,none,none,none,none,female
Gargoyles,1301,none,Gargoyles,none,none,none,none,male
Zeb,1303,none,Zeb,none,none,none,none,male
Wizard,1303,none,Wizard,none,none,none,none,male
Dorothy,1304,none,Dorothy,none,none,none,none,female
Gargoyles,1304,none,Gargoyles,none,none,none,none,male
Jim,1304,none,Jim,none,none,none,none,male
Eureka,1305,none,Eureka,none,none,none,none,female
Gargoyle,1305,none,Gargoyle,none,none,none,none,male
Gargoyles,1310,none,Gargoyles,none,none,none,none,male
Jim,1313,none,Jim,none,none,none,none,male
Gargoyles,1313,none,Gargoyles,none,none,none,none,male
Eureka,1314,none,Eureka,none,none,none,none,female
Gargoyle,1314,none,Gargoyle,none,none,none,none,male
Dorothy,1315,none,Dorothy,none,none,none,none,female
Eureka,1316,none,Eureka,none,none,none,none,female
Zeb,1318,none,Zeb,none,none,none,none,male
Wizard,1319,none,Wizard,none,none,none,none,male
Dorothy,1320,none,Dorothy,none,none,none,none,female
Wizard,1326,none,Wizard,none,none,none,none,male
Gargoyles,1330,none,Gargoyles,none,none,none,none,male
Wizard,1331,none,Wizard,none,none,none,none,male
Zeb,1333,none,Zeb,none,none,none,none,male
Eureka,1334,none,Eureka,none,none,none,none,female
Dorothy,1334,none,Dorothy,none,none,none,none,female
Jim,1336,none,Jim,none,none,none,none,male
Jim,1340,none,Jim,none,none,none,none,male
Dorothy,1340,none,Dorothy,none,none,none,none,female
Jim,1343,none,Jim,none,none,none,none,male
Wizard,1343,none,Wizard,none,none,none,none,male
Jim,1344,none,Jim,none,none,none,none,male
Eureka,1346,none,Eureka,none,none,none,none,female
Gargoyles,1348,none,Gargoyles,none,none,none,none,male
Eureka,1349,none,Eureka,none,none,none,none,female
Eureka,1350,none,Eureka,none,none,none,none,female
Eureka,1351,none,Eureka,none,none,none,none,female
Dorothy,1351,none,Dorothy,none,none,none,none,female
Dorothy,1353,none,Dorothy,none,none,none,none,female
Zeb,1355,none,Zeb,none,none,none,none,male
Wizard,1357,none,Wizard,none,none,none,none,male
Eureka,1357,none,Eureka,none,none,none,none,female
Dorothy,1359,none,Dorothy,none,none,none,none,female
Gargoyles,1361,none,Gargoyles,none,none,none,none,male
Wizard,1373,none,Wizard,none,none,none,none,male
Gargoyles,1374,none,Gargoyles,none,none,none,none,male
Zeb,1375,none,Zeb,none,none,none,none,male
Zeb,1378,none,Zeb,none,none,none,none,male
Jim,1378,none,Jim,none,none,none,none,male
Jim,1380,none,Jim,none,none,none,none,male
