name,sentence_id,title,first,middle,last,suffix,nickname,gender
Betsy Bobbin,3080,none,Betsy,none,Bobbin,none,none,female
Kaliko,3080,none,Kaliko,none,none,none,none,male
Ann,3080,none,Ann,none,none,none,none,female
Ruggedo,3081,none,Ruggedo,none,none,none,none,male
Files,3081,none,Files,none,none,none,none,male
Ozga,3081,none,Ozga,none,none,none,none,female
Nome King,3083,none,Nome,none,King,none,none,male
Polychrome,3083,none,Polychrome,none,none,none,none,female
Polychrome,3084,none,Polychrome,none,none,none,none,female
Polychrome,3086,none,Polychrome,none,none,none,none,female
Ruggedo,3087,none,Ruggedo,none,none,none,none,male
Polychrome,3090,none,Polychrome,none,none,none,none,female
Kaliko,3093,none,Kaliko,none,none,none,none,male
Polychrome,3094,none,Polychrome,none,none,none,none,female
Ruggedo,3096,none,Ruggedo,none,none,none,none,male
Ruggedo,3096,none,Ruggedo,none,none,none,none,male
Polly,3099,none,Polly,none,none,none,none,female
Polychrome,3102,none,Polychrome,none,none,none,none,female
Shaggy,3103,none,Shaggy,none,none,none,none,male
Shaggy,3104,none,Shaggy,none,none,none,none,male
Polychrome,3105,none,Polychrome,none,none,none,none,female
Ruggedo,3106,none,Ruggedo,none,none,none,none,male
Ruggedo,3109,none,Ruggedo,none,none,none,none,male
Guph,3111,none,Guph,none,none,none,none,male
Polychrome,3112,none,Polychrome,none,none,none,none,female
Guph,3112,none,Guph,none,none,none,none,male
Rainbow,3112,none,Rainbow,none,none,none,none,male
Guph,3113,none,Guph,none,none,none,none,male
Ruggedo,3113,none,Ruggedo,none,none,none,none,male
Ruggedo,3114,none,Ruggedo,none,none,none,none,male
Polychrome,3115,none,Polychrome,none,none,none,none,female
Nome King,3116,none,Nome,none,King,none,none,male
Kaliko,3117,none,Kaliko,none,none,none,none,male
Kaliko,3118,none,Kaliko,none,none,none,none,male
Pang,3120,none,Pang,none,none,none,none,male
Ruggedo,3120,none,Ruggedo,none,none,none,none,male
Pang,3122,none,Pang,none,none,none,none,male
Ruggedo,3123,none,Ruggedo,none,none,none,none,male
Nome King,3125,none,Nome,none,King,none,none,male
Pang,3128,none,Pang,none,none,none,none,male
Kaliko,3131,none,Kaliko,none,none,none,none,male
Oogaboo,3131,none,Oogaboo,none,none,none,none,female
Kaliko,3132,none,Kaliko,none,none,none,none,male
Kaliko,3133,none,Kaliko,none,none,none,none,male
Pang,3134,none,Pang,none,none,none,none,male
Betsy Bobbin,3134,none,Betsy,none,Bobbin,none,none,female
Hank,3134,none,Hank,none,none,none,none,male
Pang,3135,none,Pang,none,none,none,none,male
Pang,3139,none,Pang,none,none,none,none,male
Ruggedo,3140,none,Ruggedo,none,none,none,none,male
Tik-Tok,3143,none,Tik-Tok,none,none,none,none,male
Kaliko,3145,none,Kaliko,none,none,none,none,male
Oogaboo,3145,none,Oogaboo,none,none,none,none,female
Tik-Tok,3145,none,Tik-Tok,none,none,none,none,male
Kaliko,3148,none,Kaliko,none,none,none,none,male
Love Magnet,3150,none,Love,none,Magnet,none,none,female
Tik,3150,none,Tik,none,none,none,none,male
Tik-Tok,3150,none,Tik-Tok,none,none,none,none,male
Ruggedo,3156,none,Ruggedo,none,none,none,none,male
Pang,3156,none,Pang,none,none,none,none,male
Rose,3157,none,Rose,none,none,none,none,female
Ruggedo,3159,none,Ruggedo,none,none,none,none,male
Ruggedo,3161,none,Ruggedo,none,none,none,none,male
Nome King,3162,none,Nome,none,King,none,none,male
Polychrome,3163,none,Polychrome,none,none,none,none,female
Shaggy Man,3163,none,Shaggy,none,Man,none,none,male
Ruggedo,3163,none,Ruggedo,none,none,none,none,male
Files,3163,none,Files,none,none,none,none,male
Tik,3163,none,Tik,none,none,none,none,male
Tik-Tok,3163,none,Tik-Tok,none,none,none,none,male
Quox,3163,none,Quox,none,none,none,none,male
Polychrome,3165,none,Polychrome,none,none,none,none,female
Quox,3168,none,Quox,none,none,none,none,male
Polychrome,3169,none,Polychrome,none,none,none,none,female
Polychrome,3171,none,Polychrome,none,none,none,none,female
Ruggedo,3172,none,Ruggedo,none,none,none,none,male
Quox,3173,none,Quox,none,none,none,none,male
Quox,3175,none,Quox,none,none,none,none,male
Ruggedo,3176,none,Ruggedo,none,none,none,none,male
Quox,3178,none,Quox,none,none,none,none,male
Ruggedo,3181,none,Ruggedo,none,none,none,none,male
Rose,3182,none,Rose,none,none,none,none,female
Files,3182,none,Files,none,none,none,none,male
Quox,3183,none,Quox,none,none,none,none,male
Tik-Tok,3184,none,Tik-Tok,none,none,none,none,male
Quox,3185,none,Quox,none,none,none,none,male
Quox,3187,none,Quox,none,none,none,none,male
Ruggedo,3191,none,Ruggedo,none,none,none,none,male
Quox,3192,none,Quox,none,none,none,none,male
Hoochoo,3193,none,Hoochoo,none,none,none,none,male
Jinjin,3193,none,Jinjin,none,none,none,none,male
Ruggedo,3196,none,Ruggedo,none,none,none,none,male
Files,3197,none,Files,none,none,none,none,male
Nome King,3199,none,Nome,none,King,none,none,male
Hoochoo,3200,none,Hoochoo,none,none,none,none,male
Kaliko,3200,none,Kaliko,none,none,none,none,male
Ruggedo,3201,none,Ruggedo,none,none,none,none,male
Royal Chamberlain,3201,Royal,none,none,Chamberlain,none,none,male
Nomes,3201,none,Nomes,none,none,none,none,male
Quox,3202,none,Quox,none,none,none,none,male
