name,sentence_id,,,,
Dorothy,932,,,,
Dorothy,933,,,,
Billina,934,,,,
Billina,936,,,,
Dorothy,936,,,,
Billina,937,,,,
Bill,939,,,,
Bill,940,,,,
Billina,940,,,,
Dorothy,940,,,,
Billina,941,,,,
Ozma,941,,,,
Dorothy,942,,,,
Billina,943,,,,
Billina,946,,,,
Dorothy,949,,,,
Billina,950,,,,
Billina,953,,,,
Billina,956,,,,
Dorothy,956,,,,
Dorothy,959,,,,
Lion,959,,,,
Tiger,961,,,,
Billina,961,,,,
Dorothy,966,,,,
Tiger,967,,,,
Billina,967,,,,
Dorothy,968,,,,
Billina,969,,,,
Dorothy,971,,,,
Tiktok,971,,,,
Ozma,971,,,,
Scarecrow,971,,,,
Tin Woodman,971,,,,
Ozma,972,,,,
Langwidere,972,,,,
Dorothy,972,,,,
Dorothy,973,,,,
Tin Woodman,974,,,,
Colonels,975,,,,
Captains,975,,,,
Dorothy,978,,,,
Ozma,978,,,,
Tin Woodman,980,,,,
Ozma,981,,,,
Ev,981,,,,
Evoldo,981,,,,
Nome,981,,,,
Ev,982,,,,
Ozma,983,,,,
Glinda the Good,984,,,,
Ozma,984,,,,
Nome,986,,,,
Tiktok,987,,,,
Dorothy,990,,,,
Ev,992,,,,
Tiktok,992,,,,
Ev,993,,,,
Ozma,994,,,,
Evoldo,997,,,,
Langwidere,997,,,,
Nome King,999,,,,
Ozma,1000,,,,
Nome,1000,,,,
Roquat of the Rocks,1002,,,,
Dorothy,1003,,,,
Nome,1003,,,,
Ozma,1004,,,,
Nome,1007,,,,
Dorothy,1008,,,,
Ozma,1009,,,,
Roquat,1010,,,,
Dorothy,1011,,,,
Scarecrow,1012,,,,
Tin Woodman,1014,,,,
Langwidere,1015,,,,
Ozma,1017,,,,
Ozma,1022,,,,
Tiktok,1022,,,,
Dor,1023,,,,
Dorothy,1025,,,,
Billina,1027,,,,
Billina,1027,,,,
Scarecrow,1029,,,,
Ozma,1031,,,,
Langwidere,1033,,,,
Oz,1033,,,,
Cowardly Lion,1035,,,,
Dorothy,1036,,,,
Nanda,1036,,,,
Hungry Tiger,1036,,,,
Tiger,1040,,,,
Nanda,1041,,,,
Dorothy,1042,,,,
Tiger,1043,,,,
Dorothy,1047,,,,
Hungry Tiger,1048,,,,
Scarecrow,1049,,,,
Tin Woodman,1049,,,,
Dorothy,1049,,,,
Ozma,1050,,,,
Ruler of Oz,1052,,,,
Ozma,1053,,,,
Woggle,1053,,,,
Bug,1053,,,,
Scarecrow,1054,,,,
Tin Woodman,1054,,,,
Ozma,1054,,,,
Oz,1054,,,,
Cowardly Lion,1055,,,,
Hungry Tiger,1055,,,,
Dorothy,1056,,,,
Sawhorse,1056,,,,
Ozma,1056,,,,
Sawhorse,1057,,,,
Dorothy,1057,,,,
Dorothy,1058,,,,
Sawhorse,1059,,,,
Dorothy,1062,,,,
Scarecrow,1063,,,,
Sawhorse,1064,,,,
Sawhorse,1068,,,,
Dorothy,1071,,,,
Ozma,1071,,,,
Oz,1071,,,,
Billina,1071,,,,
Dorothy,1071,,,,
Ozma,1073,,,,
Dorothy,1073,,,,
Scarecrow,1073,,,,
Scarecrow,1074,,,,
Ozma,1074,,,,
Lion,1075,,,,
Tiger,1075,,,,
Billina,1075,,,,
Lion,1076,,,,
Tiger,1076,,,,
Ozma,1077,,,,
Dorothy,1077,,,,
Billina,1077,,,,
Scarecrow,1078,,,,
Sawhorse,1078,,,,
Tin Woodman,1078,,,,
Tiktok,1078,,,,
Billina,1083,,,,
Ozma,1084,,,,
Scarecrow,1084,,,,
Sawhorse,1084,,,,
Dorothy,1085,,,,
Tin Woodman,1086,,,,
Billina,1087,,,,
Dorothy,1087,,,,
Tin Woodman,1091,,,,
Billina,1093,,,,
Tin Woodman,1094,,,,
Scarecrow,1095,,,,
Dorothy,1097,,,,
Billina,1098,,,,
Scarecrow,1102,,,,
Tin Woodman,1103,,,,
Dorothy,1103,,,,
Billina,1103,,,,
Scarecrow,1105,,,,
Sawhorse,1105,,,,
Sawhorse,1107,,,,
Scarecrow,1107,,,,
Ozma,1107,,,,
Dorothy,1109,,,,
Scarecrow,1114,,,,
Tin Woodman,1115,,,,
Dorothy,1117,,,,
Nome,1119,,,,
Ozma,1121,,,,
Scarecrow,1124,,,,
Ozma,1126,,,,
Cowardly Lion,1133,,,,
Tiktok,1136,,,,
Smith & Tin,1137,,,,
Ozma,1138,,,,
Scarecrow,1141,,,,
Nome King,1144,,,,
Tiktok,1144,,,,
Dorothy,1145,,,,
Scarecrow,1146,,,,
Scarecrow,1149,,,,
Tin Woodman,1152,,,,
Cowardly Lion,1156,,,,
Ozma,1158,,,,
Scarecrow,1160,,,,
Ozma,1162,,,,
Lion,1162,,,,
Dorothy,1163,,,,
Ozma,1165,,,,
Lion,1166,,,,
Ozma,1166,,,,
Dorothy,1168,,,,
Dorothy,1169,,,,
Ozma,1169,,,,
Sawhorse,1170,,,,
Tiktok,1171,,,,
Tin Woodman,1172,,,,
