name,sentence_id
Rainbow,1410
Button,1411
Bright,1411
Nick Chopper,1412
Tin Woodman,1412
Dorothy,1421
Tin Woodman,1423
Tin Woodman,1426
Oz,1428
Butterfield,1430
Tin Woodman,1433
Ozma,1435
Shaggy Man,1438
Toto,1441
Emperor,1442
Dorothy,1442
Toto,1443
Dorothy,1443
Dorothy,1444
Button,1445
Bright,1445
Tin Woodman,1445
Button,1446
Bright,1446
Tin Woodman,1448
H. M. Wogglebug,1448
T.E.,1448
Polly,1448
Tin Woodman,1449
Polychrome,1450
Rainbow,1451
Tin Woodman,1451
Dorothy,1451
Miss Polly,1451
Tin Woodman,1454
Winkies,1456
Dorothy,1457
Button,1457
Bright,1457
Tin Woodman,1460
Tik,1461
Oz,1461
Dorothy,1465
Jack Pumpkinhead,1466
Tin Woodman,1466
Dorothy,1469
Jack,1473
Dorothy,1473
Tin Woodman,1475
Jack,1476
Dorothy,1483
Jack Pumpkinhead,1483
Nick Chopper,1484
Button,1485
Bright,1485
Pumpkinhead,1485
Jack,1485
Dorothy,1486
Ozma,1488
Jack,1489
Ozma,1490
Jack Pumpkinhead,1490
Dorothy,1494
Jack,1497
Tin Woodman,1497
Ozma,1500
Dorothy,1500
Ozma,1502
Ozma,1505
Winkies,1507
Tin Woodman,1511
Pumpkinhead,1511
Sorcerer,1512
Witch,1513
Mombi,1513
Sorcerer,1513
Ozma,1514
Witch,1514
Mombi,1514
Mombi,1515
Sorcerer 's,1515
Witch,1515
Mombi,1516
Ozma,1517
Pumpkinhead,1517
Powder,1517
Jack,1517
Jack Pumpkinhead,1519
Ozma,1522
Tin Woodman,1524
Sorcerer,1525
Dyna,1526
Sorcerer,1527
Dyna,1529
Tin Woodman,1532
Dyna,1540
Dorothy,1540
Tin Woodman,1541
Dorothy,1545
Ozma,1545
Polly,1551
Polychrome,1552
Polly,1556
Dorothy,1556
Dorothy,1561
Lion,1561
Ozma,1561
Hungry Tiger,1563
Dorothy,1564
Tiger,1565
Dorothy,1567
Polly,1569
Polly,1569
Dorothy,1570
Wizard,1573
Polly,1574
Dorothy,1577
Dorothy,1579
Tiger,1579
Tin Woodman,1582
Button,1583
Bright,1583
Dorothy,1583
Dorothy,1584
Lion,1584
Tiger,1584
Toto,1585
Lion,1585
Toto,1585
Tiger,1586
Tiger,1586
Billina,1587
Ozma,1587
Cowardly Lion,1588
Ozma,1590
Dorothy,1591
Cowardly Lion,1592
Ozma,1592
Polly,1592
Dorothy,1592
Ozma,1594
Polly,1596
Polychrome,1597
Dorothy,1598
Dorothy,1599
Polychrome,1599
Button,1599
Button,1601
Bright,1601
Dorothy,1601
Tin Woodman,1602
Tik,1602
Yellow Hen,1603
Dorothy,1603
Dorothy,1606
Gates,1606
Polychrome,1608
Button,1609
Bright,1609
Ozma,1620
Button,1621
Bright,1621
Cowardly Lion,1623
Hungry Tiger,1623
Dorothy,1624
Button,1624
Bright,1624
Polychrome,1625
Dorothy,1627
Jellia Jamb,1627
Ozma,1629
Ozma,1629
Dorothy,1630
Jellia,1632
Scarecrow,1634
Ozma,1634
Tok,1636
Tin Woodman,1636
Billina,1636
Lion,1636
Tiger,1636
Toto,1637
Dorothy,1637
Jellia Jamb,1638
Dorothy,1640
Dorothy,1641
Tin Woodman,1642
Ozma,1642
Dorothy,1643
Button,1644
Bright,1644
Jellia Jamb,1644
Rainbow,1644
Polychrome,1644
Ozma,1648
Dorothy,1682
Button,1682
Bright,1682
Toto,1683
Ozma,1683
Ozma,1684
Ozma,1686
Ozma,1687
Dorothy,1688
Toto,1688
Button,1688
Bright,1688
Ozma,1690
Dorothy,1691
Dorothy,1693
Ozma,1694
Scoodlers,1695
Button,1697
Bright,1697
Dorothy,1697
Polly,1699
Rainbow,1700
Dorothy,1701
Dox,1701
Foxville,1701
Kik,1701
Dunkiton,1701
Ozma,1702
Musicker,1703
Button,1703
Bright,1703
Musicker,1706
Dorothy,1707
Ozma,1708
Button,1708
Bright,1708
Polychrome,1709
Ozma,1709
Rainbow,1709
Dorothy,1710
Polly,1710
Ozma,1710
Polly,1712
Button,1712
Bright,1712
Dorothy,1713
Ozma,1713
Dorothy,1714
Button,1715
Bright,1715
Ozma,1715
Dorothy,1716
Highness,1716
Oz,1717
Dorothy,1720
Dorothy,1724
Ozma,1725
Butterfield,1727
Dorothy,1730
Dorothy,1733
Dorothy,1734
Wizard,1734
Button,1735
Bright,1735
Wizard,1737
Ozma,1737
Wizard,1738
Ozma,1740
Wizard,1740
Wizard,1741
Wizard,1743
Polychrome,1743
Ozma,1745
Scarecrow,1747
Dorothy,1747
Ozma,1748
Dorothy,1751
Polly,1751
Button,1751
Bright,1751
Toto,1752
Oz,1752
Dorothy,1756
Scarecrow,1756
Scarecrow,1758
Dorothy,1758
Dorothy,1760
Scarecrow,1760
Button,1761
Bright,1761
Polychrome,1761
Dorothy,1763
Munchkin,1764
Scarecrow,1764
Dorothy,1769
Button,1770
Bright,1770
Polly,1770
Jellia Jamb,1772
Ozma,1772
Dorothy,1772
Dorothy,1774
Room,1774
Ozma,1774
Polly,1774
Button,1774
Bright,1774
Scarecrow,1775
Tin Woodman,1775
Wonderful Wizard,1775
Dorothy,1777
Scarecrow,1778
Button,1778
Bright,1778
Dorothy,1779
Scarecrow,1780
Papa,1781
Button,1781
Bright,1781
Scarecrow,1782
Button,1783
Bright,1783
Scarecrow,1784
Button,1785
Bright,1785
Scarecrow,1786
Button,1787
Bright,1787
Scarecrow,1788
Button,1793
Bright,1793
Jack Pumpkinhead,1794
Ozma,1794
Jellia Jamb,1796
Ozma,1796
Sorceress,1798
Glinda the Good,1798
Ozma,1798
Dorothy,1798
Glinda,1799
Dorothy,1800
Button,1800
Bright,1800
Polly,1800
Jellia Jamb,1800
Sorceress,1800
H. M. Woggle,1801
T.E.,1801
H. M.,1801
Bug,1802
Ozma,1802
Scarecrow,1803
Billina,1806
Dorothy,1807
Billina,1808
Dorothy,1809
Billina,1809
Dorothy,1813
Billina,1816
Tik,1816
Dorothy,1817
Button,1818
Bright,1818
Tin Woodman,1819
Dorothy,1821
Billina,1821
Chamberlain,1822
Ozma,1831
Chamberlain,1831
King Dough,1831
Chick the Cherub,1832
Para Bruin,1832
Dorothy,1833
Ozma,1834
Chick,1835
Cherub,1835
Billina,1835
John Dough,1835
Head Booleywag,1835
Dorothy,1836
Button,1837
Bright,1837
So're,1840
Button,1840
Bright,1840
Chick,1841
Cherub,1841
Scarecrow,1843
Chick,1844
Head Booleywag,1846
Billina,1847
Cherub,1848
John Dough,1850
Ozma,1850
Dorothy,1851
Hiland,1851
High Chamberlain,1851
Chamberlain,1852
Knooks,1854
Button,1855
Bright,1855
Chamberlain,1856
Santa Claus,1857
Chamberlain,1857
Santa Claus,1859
Ozma,1861
Dorothy,1862
Santa,1864
Button,1867
Bright,1867
Santa Claus,1867
Button,1869
Bright,1869
Dorothy,1869
Wizard,1874
Button,1876
Bright,1876
Santa,1877
Wizard,1878
Wizard,1878
Santa Claus,1879
Polychrome,1879
Polly,1881
Santa Claus,1882
Ozma,1883
Ozma,1884
Dorothy,1886
Ryls,1887
Oz,1888
Knooks,1889
Knooks,1890
Knooks,1891
Knooks,1892
Dorothy,1892
Santa Claus,1893
Scarecrow,1893
Tin Woodman,1893
Ozma,1894
Polychrome,1895
Ryls,1898
Knooks,1898
High Chamberlain,1899
Button,1901
Bright,1901
Merryland,1903
High Chamberlain,1906
Dorothy,1906
Dorothy,1907
Ozma,1907
Candy Man,1909
Scarecrow,1909
Tik,1909
Wizard,1909
Tin Woodman,1909
Button,1910
Bright,1910
Candy Man,1910
Ozma,1911
Ozma,1913
Braided,1913
Dorothy,1914
Wizard,1914
Room,1915
Ev,1915
Evardo,1916
Ev,1916
Ozma,1917
Ev,1917
Nome,1917
Dorothy,1918
Tik,1919
Billina,1919
Scarecrow,1919
Tin Woodman,1919
Evardo,1920
Ozma,1920
King Renard,1921
King Dox,1921
Dox,1923
Dorothy,1923
Room,1924
Dorothy,1924
Oz,1924
Fox,1924
Chamberlain,1925
Sublime,1925
Queen Zixi,1925
Serene,1926
King Bud,1926
Noland,1926
Fluff,1927
Dorothy,1928
Zixi,1928
Dorothy,1929
Zixi,1929
Wizard,1929
Bud,1930
Noland,1930
Fluff,1930
Zixi,1930
Ozma,1930
Dorothy,1932
Polly,1932
Fluff,1932
Bud,1932
Button,1932
Bright,1932
Fairyland,1933
Zixi,1933
Jellia Jamb,1933
Bud,1933
Fluff,1933
Ozma,1934
Dorothy,1934
Button,1935
Candy Man,1937
Tin Woodman,1939
Scarecrow,1939
Billina,1940
Dorothy,1941
Button,1941
Bright,1941
Ozma,1941
Scarecrow,1942
Kik,1943
Dunkiton,1943
Johnny Dooit,1943
Johnny Dooit,1944
Scarecrow,1945
Dorothy,1946
Santa Claus,1949
Ozma,1949
John Dough,1950
Zixi,1950
Bud,1950
Ev,1950
Evardo,1950
Merryland,1950
Toto,1952
Billina,1953
Dorothys,1954
Yellow Hen,1954
Ryls,1956
Knooks,1956
Santa Claus,1956
Merryland,1956
Hilanders,1956
Lolanders,1956
John Dough,1956
Ozma,1957
Ozma,1960
Santa,1963
Ozma,1963
Merryland,1968
Bug,1969
Wizard,1970
Dorothy,1970
Polychrome,1971
Billina,1972
Donkey King,1972
Johnny Dooit,1973
Tin Woodman,1973
Ryls,1973
Knooks,1973
Rubber Bear,1973
Button,1975
Bright,1975
Ozma,1977
Ruler,1978
Ozites,1979
Quadlings,1983
Sovereign,1983
Gillikins,1983
Ozma,1987
Dyna,1989
Ozma,1990
Cowardly Lion,1991
Santa Claus,1993
Ryls,1995
Knooks,1995
Zixi,1996
Ix,1996
John Dough,1996
Cherub,1996
Para Bruin,1996
Merryland,1996
Bud,1996
Noland,1996
Fluff,1996
Ev,1996
Braided Man,1996
Candy Man,1996
Dox,1996
Foxville,1996
Kik,1996
Dunkiton,1996
Johnny Dooit,1996
Dorothy,1998
Scarecrow,1998
Polychrome,1999
Button,1999
Bright,1999
Tik,2001
Jack Pumpkinhead,2002
Glinda,2002
Sorceress,2002
Billina,2003
Wizard,2009
Ozma,2009
Wizard,2010
Scarecrow,2012
Tin Woodman,2013
Glinda,2014
Sorceress,2014
Para Bruin,2015
Glinda,2017
Johnny Dooit,2019
Johnny,2019
Wizard,2020
Wizard,2023
Wizard,2024
Wizard,2024
Dorothy,2026
Button,2026
Bright,2026
Wizard,2027
Santa Claus,2028
Wizard,2029
Wizard,2032
Santa Claus,2033
Santa,2037
Ozma,2038
Wizard,2038
Merryland,2039
Fluff,2041
Wizard,2043
Fluff,2043
Bud,2043
Zixi,2043
Wizard,2044
Santa Claus,2044
Button,2045
Bright,2045
Santa,2047
Wizard,2048
Button,2048
Bright,2048
Dorothy,2049
Button,2049
Bright,2049
Ozma,2050
Dorothy,2051
Button,2052
Bright,2052
Wizard,2053
Button,2054
Bright,2054
Toto,2055
Dorothy,2056
Toto,2059
Santa Claus,2061
Ozma,2062
Wizard,2063
Knooks,2063
Santa Claus,2064
Polly,2066
Dorothy,2067
Polychrome,2068
Santa Claus,2068
Rainbow,2071
Ozma,2072
Dorothy,2073
Polychrome,2073
Dorothy,2075
Ozma,2075
Polly,2076
Polychrome,2077
Rainbow,2077
Dorothy,2079
Toto,2079
Ozma,2079
Dorothy,2082
Ozma,2083
Dorothy,2083
Toto,2083
Uncle Henry,2083
Dorothy,2084
Toto,2084
