sentence_index,agent,,,,,
272,the girl,,,,,
272,the girl,,,,,
273,a narrow ledge of rock,,,,,
273,the tiny flame of the candle,,,,,
274,The Orks,,,,,
274,The Orks,,,,,
274,this,,,,,
274,The Orks,,,,,
275,The Orks,,,,,
275,The Orks,,,,,
276,Trot,,,,,
277,The Orks,,,,,
278,all three,,,,,
278,all three,,,,,
278,a narrow ledge of rock,,,,,
278,the tiny flame of the candle,,,,,
279,I,,,,,
279,I,,,,,
280,I,,,,,
281,you poor creatures,,,,,
281,you poor creatures,,,,,
282,you poor creatures,,,,,
282,you poor creatures,,,,,
282,the tiny speck of light,,,,,
283,the tiny speck of light,,,,,
283,the tiny speck of light which marked the location of the candle,,,,,
285,the Orks,,,,,
286,I,,,,,
286,I.,,,,,
287,I,,,,,
287,the Orks,,,,,
288,Bill Weedles,,,,,
288,Bill Weedles,,,,,
288,another candle 's flame,,,,,
289,the Orks,,,,,
289,the Orks,,,,,
290,What,,,,,
290,another candle,,,,,
290,the Orks,,,,,
291,Trot,,,,,
293,Bill Weedles,,,,,
294,Bill Weedles,,,,,
294,Bill Weedles,,,,,
294,Bill Weedles,,,,,
295,the Orks,,,,,
296,the Orks,,,,,
296,the Orks,,,,,
296,Trot and Bill Weedles,,,,,
297,Trot and Bill Weedles,,,,,
297,Bill Weedles,,,,,
297,the Orks,,,,,
298,It,,,,,
299,Trot,,,,,
300,It,,,,,
302,It,,,,,
303,I,,,,,
306,I,,,,,
306,I,,,,,
307,You,,,,,
308,you,,,,,
309,you,,,,,
309,you,,,,,
309,you,,,,,
309,you,,,,,
310,a great lake of black water,,,,,
310,a great lake of black water,,,,,
310,it,,,,,
310,"a great lake of black water , which looked so cold and wicked that it made me shudder",,,,,
310,us,,,,,
311,you,,,,,
311,we,,,,,
311,us,,,,,
311,we,,,,,
311,we,,,,,
312,we,,,,,
312,the little girl,,,,,
313,you,,,,,
314,you,,,,,
315,Your,,,,,
316,Your,,,,,
316,you,,,,,
318,you,,,,,
318,a dozen of you,,,,,
318,you,,,,,
319,I,,,,,
319,I. I,,,,,
319,Trot,,,,,
319,I.,,,,,
320,the Orkss,,,,,
321,I.,,,,,
321,the Orkss,,,,,
322,Bill Weedles,,,,,
324,Trot,,,,,
325,Trot,,,,,
326,Trot,,,,,
326,the Ork,,,,,
327,I,,,,,
328,not many little girls,,,,,
328,not many little girls,,,,,
329,you,,,,,
329,you,,,,,
331,you,,,,,
332,the Orks,,,,,
334,The sailor - man,,,,,
335,I,,,,,
335,a big arched tunnel,,,,,
335,I,,,,,
335,a big arched tunnel,,,,,
335,we,,,,,
336,her,,,,,
336,we,,,,,
336,we,,,,,
337,the Orks,,,,,
337,the Orks 's,,,,,
337,the Orks 's shrill voice,,,,,
338,That bit of flying,,,,,
339,the Orks,,,,,
340,Bill Weedles,,,,,
341,Bill Weedles,,,,,
341,Trot,,,,,
341,Trot,,,,,
342,She,,,,,
343,they,,,,,
344,She,,,,,
344,by the whirlpool,,,,,
344,they,,,,,
345,Bill Weedles,,,,,
346,Bill Weedles,,,,,
346,Bill Weedles,,,,,
347,only three more,,,,,
347,us,,,,,
348,it,,,,,
348,no one,,,,,
349,us,,,,,
349,Trot,,,,,
351,us,,,,,
352,we,,,,,
353,I,,,,,
353,the Orks,,,,,
354,I,,,,,
354,you,,,,,
354,I,,,,,
354,I,,,,,
356,Billina,,,,,
357,the Orks,,,,,
357,the two,,,,,
358,the two,,,,,
358,the Orks,,,,,
358,the Orks,,,,,
360,Billina,,,,,
360,him,,,,,
360,him,,,,,
360,him,,,,,
361,the Orks,,,,,
361,him,,,,,
362,They,,,,,
362,They,,,,,
363,My feet,,,,,
363,They,,,,,
364,My,,,,,
364,to walk upon the tunnel,,,,,
365,Trot,,,,,
366,They,,,,,
367,they,,,,,
367,Trot,,,,,
367,Trot,,,,,
368,Bill Weedles,,,,,
368,Bill Weedles,,,,,
368,Bill Weedles,,,,,
368,Bill Weedles,,,,,
370,Bill Weedles,,,,,
371,they,,,,,
371,mebbe,,,,,
371,they,,,,,
372,us,,,,,
372,I,,,,,
372,us,,,,,
373,the Orks,,,,,
374,me 's feet,,,,,
375,I,,,,,
375,I,,,,,
376,the Orks,,,,,
377,you,,,,,
377,only one,,,,,
377,I,,,,,
378,I,,,,,
378,you,,,,,
379,I,,,,,
380,I,,,,,
380,I,,,,,
380,I,,,,,
381,"Trot , who was very glad to sit down beside Trot , who was very glad to sit down beside her companions 's companions",,,,,
381,I,,,,,
384,Orks,,,,,
384,the creature,,,,,
384,the creature,,,,,
386,you,,,,,
387,you,,,,,
388,Bill Weedles,,,,,
389,you,,,,,
390,the Orks,,,,,
