sentence_index,agent,
517,Dorothy the Lamb,
518,The Prince,
519,he,
520,she,
521,he,
522,you,
522,you,
523,he,
523,our,
524,I,
524,I,
526,the Prince,
526,the Prince,
526,the Prince,
527,the Prince,
527,Zebediah,
528,the Prince,
531,Dorothy the Lamb,
533,this Wizard of OzOz,
534,them,
535,them,
535,the Prince,
536,them,
537,them,
537,Dorothy the Lamb,
538,the Prince,
539,The children,
539,the Wizard of Oz,
540,Eureka the Pink Kitten,
540,Eureka the Pink Kitten,
540,voice,
540,the Wizard of Oz,
540,the Wizard of Oz,
540,Eureka the Pink Kitten,
540,the Pink Kitten,
541,the Wizard of Oz,
541,the Wizard of Oz,
541,the Wizard of Oz,
543,The children,
543,the boy,
544,the kitten,
544,the kitten,
545,the kitten,
545,Dorothy the Lamb,
545,the kitten,
546,the kitten,
546,the kitten,
548,I,
549,These people,
549,These people,
549,our,
550,the Prince,
551,the Prince,
551,your,
551,your will,
553,the Prince,
553,the Prince,
554,The children,
554,The children,
554,the Wizard of Oz,
556,the Wizard of Oz,
557,Dorothy the Lamb,
558,we,
558,the Wizard of Oz,
559,she,
559,that heartless Prince,
560,Dorothy the Lamb,
561,us,
561,us,
562,us,
562,each of us,
563,Dorothy the Lamb,
563,us,
563,she,
564,the Wizard of Oz and Dorothy the Lamb,
564,the Wizard of Oz and Dorothy the Lamb,
565,She,
565,those,
565,She,
566,the Wizard of Oz,
566,the Wizard of Oz,
567,the voice of the Prince,
567,those present,
567,the Prince,
568,the Princess,
568,him,
569,the Princess,
569,him,
569,him,
569,him,
569,him,
570,the Princess,
570,him,
570,him,
570,him,
571,him,
573,she,
574,he,
574,he,
575,all the people,
575,he,
576,our friends,
577,The people of Mangaboo,
577,The people of Mangaboo,
577,The people of Mangaboo,
577,The,
578,the people in the procession,
578,the Princess,
578,the Princess,
579,No one,
579,Dorothy the Lamb and Zebediah and the Wizard of Oz,
579,by Dorothy the Lamb and Zebediah and the Wizard of Oz,
580,Dorothy the Lamb and Zebediah and the Wizard of Oz,
580,Dorothy the Lamb and Zebediah and the Wizard of Oz,
580,the Lamb and Zebediah and the Wizard of Oz,
581,the Lamb,
581,Dorothy the Lamb,
581,Dorothy the Lamb and Zebediah and the Wizard of Oz,
582,the Wizard of Oz,
583,I,
584,the boy,
585,I,
586,Only a fairy country,
586,we,
587,Zebediah,
588,they,
588,they,
589,the kitten,
589,the kitten,
589,the kitten,
589,the Wizard of Oz,
590,they,
590,Jim the Cab - horse,
590,the kitten,
590,the kitten,
591,the Wizard of Oz,
592,Dorothy the Lamb,
593,I,
594,the boy,
594,him,
594,Dorothy the Lamb,
595,the Wizard of Oz,
595,the Wizard of Oz,
596,the Wizard of Oz,
596,the Wizard of Oz,
597,Dorothy the Lamb,
598,Zebediah,
599,I.,
599,the Wizard of Oz,
600,I,
603,us,
603,Eureka the Pink Kitten,
604,The little man,
604,The little man,
604,The little man,
604,the pigs,
604,the pigs,
605,The little man,
606,things,
606,Dorothy the Lamb,
606,Dorothy the Lamb,
606,Dorothy the Lamb,
607,the piglet,
607,you,
609,the Wizard of Oz,
609,the Wizard of Oz,
610,his pets,
611,I,
611,I,
613,Dorothy the Lamb,
615,I,
615,another of the piglets,
615,another of the piglets,
616,I,
616,I,
618,I,
618,I,
620,Dorothy the Lamb,
621,I,
622,the Wizard of Oz,
623,A sailor,
623,the Wizard of Oz,
624,I,
624,I,
624,I,
625,no cows here,
626,I,
626,you,
626,you,
627,you,
627,you,
628,I,
629,I.,
629,I,
631,I,
631,I,
631,I.,
632,I,
634,I,
634,I,
635,the Wizard of Oz,
635,the Wizard of Oz,
636,the Wizard of Oz,
636,the Wizard of Oz,
636,anything bright,
636,the Wizard of Oz,
636,the Wizard of Oz,
637,the Wizard of Oz,
637,the Wizard of Oz,
637,a sharp tug,
637,a fish,
637,the Wizard of Oz,
638,the Pink Kitten,
638,the Pink Kitten,
639,Dorothy the Lamb,
639,Eureka the Pink Kitten,
640,it,
640,I,
640,I,
640,I,
641,I,
641,fish,
641,I,
644,the girl,
646,The little pigs,
646,The little pigs,
647,one of them,
648,another,
649,Dorothy the Lamb,
649,Dorothy the Lamb,
649,the kitten,
650,Dorothy the Lamb,
650,from Dorothy the Lamb 's luncheon on the train,
650,Dorothy the Lamb,
650,Dorothy the Lamb,
650,from her luncheon on the train,
651,the kitten,
651,the tiny piglets,
651,from her luncheon,
651,the tiny piglets,
652,us,
652,the Wizard of Oz,
653,Jim the Cab - horse,
654,Jim the Cab - horse,
655,Jim the Cab - horse,
655,Jim the Cab - horse,
655,Jim the Cab - horse,
655,Jim the Cab - horse,
656,Jim the Cab - horse,
656,the Wizard of Oz,
657,the Wizard of Oz,
657,the piglets,
657,the piglets,
657,the three,
657,Jim the Cab - horse,
658,the girl,
659,the Wizard of Oz,
659,the Wizard of Oz,
659,the Wizard of Oz,
659,the Prince,
659,the Prince,
659,his people,
659,the girl,
659,the three,
660,the three,
660,the three,
660,Jim the Cab - horse,
661,the domed hall,
661,Dorothy the Lamb,
661,the Lamb,
663,the boy,
663,the boy,
664,some openings that appeared near the top of the dome,
664,Dorothy the Lamb,
665,the Wizard of Oz,
666,us,
666,us,
667,he,
667,he,
669,Dorothy the Lamb and Zebediah,
671,Dorothy the Lamb,
671,these people,
671,Dorothy the Lamb,
672,Zebediah,
674,Zebediah,
675,Zebediah,
676,Zebediah,
676,Zebediah,
677,I,
677,Dorothy the Lamb,
678,Zebediah,
678,Zebediah,
678,he,
678,who,
680,the six colored suns,
681,the Wizard of Oz,
681,the Wizard of Oz,
681,the Wizard of Oz,
681,the Wizard of Oz,
681,the Wizard of Oz,
681,the Wizard of Oz,
682,the Wizard of Oz,
683,the Wizard of Oz,
683,the Wizard of Oz,
684,the Wizard of Oz,
684,the Wizard of Oz,
684,the Wizard of Oz,
685,the Wizard of Oz,
685,the Wizard of Oz,
685,the Wizard of Oz,
685,I,
685,I,
686,the Wizard of Oz,
687,the boy,
688,the three,
688,the three,
688,the three,
688,the three,
688,the three,
689,I,
689,I.,
690,I,
691,the Wizard of Oz,
692,them,
692,them,
692,the boy,
693,Dorothy the Lamb,
693,Dorothy the Lamb,
694,Dorothy the Lamb,
694,Dorothy the Lamb,
695,the Wizard of OzOz,
696,I,
696,I,
697,they,
697,they,
697,the doorway,
697,they,
697,the Princess and a throng of the Princess 's people,
698,they,
698,they,
698,the beautiful vegetable lady,
698,I,
698,my advisors,
698,they,
699,they,
699,Dorothy the Lamb,
700,you,
701,the Wizard of Oz,
702,We,
702,the Princess,
702,the Twining Vines,
702,the Twining Vines,
703,you,
703,We,
703,We,
704,We 's country,
705,the Wizard of Oz,
708,you,
708,the Princess,
708,one of you 's own,
708,one of you 's own,
708,you,
708,you,
709,you,
709,you,
710,I,
710,I,
711,I,
711,I,
712,I,
712,I,
712,you,
713,you,
713,you,
714,his trick of producing the nine tiny piglets and making them disappear again,
715,you,
716,you,
716,you,
717,you,
717,you,
718,even that,
719,Zebediah,
719,you,
719,Zebediah,
720,he,
720,he,
720,he,
720,he,
720,Your Highness,
720,he,
721,he,
721,he,
722,he,
722,their,
723,he,
723,he,
724,a lantern,
725,The Mangaboos,
726,the Wizard of Oz,
727,the Wizard of Oz,
727,the effect,
728,the Wizard of Oz,
728,those of Princess 's advisors,
728,Princess 's,
728,Princess 's,
728,who,
729,your advisors,
729,who,
729,those of your advisors who wished to throw us into the Garden of Clinging Vines,
729,your advisors,
729,who,
730,any,
730,the light,
731,The advisors of the Princess,
731,the Princess,
732,The advisors of the Princess,
734,the Princess,
734,we,
735,the Princess 's people,
735,the Princess,
735,the Princess 's subjects,
735,the Princess 's subjects,
736,The Wizard of Oz,
736,The Wizard of Oz,
