sentence_index,agent,
715,the shaggy man,
715,the shaggy man,
715,strangers,
715,you,
715,the road,
716,you,
717,This polite speech,
717,This polite speech,
718,the Love Magnet,
718,the Love Magnet,
718,his Majesty 's,
718,his Majesty 's,
718,Only a donkey,
719,his Majesty 's,
719,his Majesty 's,
720,his Majesty 's,
720,his Majesty 's,
721,the speaker,
721,the speaker,
721,the speaker,
721,the speaker,
722,"a brown , shaggy head",
722,even Button - Bright 's fox face,
725,the shaggy man,
727,you stupid king,
728,you,
728,the King,
730,you,
732,you,
733,I,
733,I,
734,I,
734,I,
734,magic,
735,I,
735,I,
736,You,
737,I,
737,You,
739,Dorothy the Lamb,
740,the shaggy man,
741,the shaggy man,
742,Dorothy the Lamb,
742,Dorothy the Lamb,
742,Dorothy the Lamb,
743,we,
744,you,
744,King Kik - a - bray,
745,you,
745,you,
745,you,
747,you,
747,"King Kik - a - bray , King Kik - a - bray 's tone both surprised and eager",
748,I.,
748,I,
748,I,
750,I,
751,I,
752,I,
752,I,
754,I,
754,I,
755,I,
755,I,
755,I,
756,I,
756,this dreadful head,
756,this dreadful head,
756,I,
757,your fox head,
757,your fox head,
757,he,
758,"your , still staring at he is ears",
759,the shaggy man 's ears,
759,the sight,
759,your,
760,you,
761,you,
761,"the Lamb of you 's Daughter , who was flitting about the room like a sunbeam because Dorothy the Lamb of the Rainbow 's Daughter , who was flitting about the room like a sunbeam",
761,the Lamb of you 's Daughter,
761,Dorothy the Lamb of the Rainbow 's Daughter,
761,she,
761,Dorothy the Lamb of the Rainbow 's Daughter,
762,Polly the Rainbow,
763,Polly the Rainbow,
763,Polly the Rainbow,
764,you,
764,you,
764,us,
764,Dorothy the Lamb,
764,Dorothy the Lamb,
764,Royal Ozma,
764,Dorothy the Lamb,
766,Kik - a - bray,
767,You,
768,you,
768,she,
768,you,
769,Kik - a - bray,
770,you,
771,you,
772,you,
772,she,
772,we,
773,The foxes,
774,we,
774,we,
774,Polly the Rainbow,
775,I,
775,I,
775,I,
775,I,
776,I,
777,I,
777,I.,
777,I.,
777,Hee - haw,
778,I,
780,each one of you,
781,creatures,
782,Polly the Rainbow,
783,the King,
783,the King,
783,the King 's Magic Staff,
783,you,
783,you,
784,the King,
784,each,
785,Dorothy the Lamb 's beefsteak,
786,The King,
786,The King,
786,they all,
787,The Rainbow 's Daughter,
787,Button - Bright,
787,Button - Bright,
788,The King,
788,The King,
788,"the brown donkey , which was his favorite servant",
788,they all,
789,they,
789,the vacant house where they were to pass the night,
789,they all,
789,The King,
790,they all,
792,Every donkey in the place,
793,he,
793,he,
794,he,
794,Button - Bright,
795,Both Dorothy the Lamb and Polly the Rainbow,
796,the shaggy man,
796,the shaggy man,
796,the shaggy man,
796,the shaggy man,
797,Both Dorothy the Lamb and Polly the Rainbow,
797,the shaggy man,
797,Both Dorothy the Lamb and Polly the Rainbow,
798,Both Dorothy the Lamb and Polly the Rainbow,
798,Kik - a - bray,
799,Button - Bright,
800,I,
800,I,
801,give,
801,you,
801,you,
801,you,
802,Button - Bright 's,
802,us all,
803,you,
803,from my beefsteak,
803,I,
803,from the beefsteak,
804,us all,
804,the brown servant - donkey,
805,the road,
806,King Kik - a - bray,
806,you,
806,the brown donkey,
806,they,
807,you,
808,no one,
808,the one,
808,which,
809,"Polly the Rainbow , Polly the Rainbow 's beautiful gauzy robes floating around Polly the Rainbow like a rainbow cloud",
