sentence_index,agent,,,,,
153,Ann Soforth and her army,,,,,
154,by Ann Soforth and her army 's surroundings,,,,,
154,Ann Soforth and her army,,,,,
154,Ann Soforth and her army,,,,,
155,None of them,,,,,
155,"to discover them were not in of Oz at all , but in an unknown country",,,,,
155,them,,,,,
156,Ann Soforth,,,,,
156,Ann Soforth,,,,,
156,Ann Soforth,,,,,
156,we,,,,,
156,we,,,,,
157,we,,,,,
157,we,,,,,
157,we,,,,,
157,we,,,,,
158,we,,,,,
158,Major Cake,,,,,
159,Ann Soforth,,,,,
160,We,,,,,
160,We,,,,,
161,We,,,,,
161,General Apple,,,,,
162,them,,,,,
162,Private Files,,,,,
162,Private Files,,,,,
162,them,,,,,
164,the Queen,,,,,
165,We,,,,,
165,We,,,,,
165,We,,,,,
165,the enemy,,,,,
167,We,,,,,
168,Many,,,,,
168,Many,,,,,
168,the Oogaboo people,,,,,
169,Queen Ann Soforth 's Queen Ann Soforth 's 's,,,,,
169,Queen Ann Soforth 's Queen Ann Soforth 's 's,,,,,
170,She,,,,,
170,a few of her officers,,,,,
170,She,,,,,
171,Others,,,,,
171,Others,,,,,
171,She,,,,,
171,every man,,,,,
173,Files,,,,,
173,by the merry whistle of Files,,,,,
174,Files 's pleasant disposition,,,,,
174,Files 's pleasant disposition,,,,,
174,She,,,,,
175,their,,,,,
176,Major Stockings,,,,,
177,I,,,,,
177,I,,,,,
177,I,,,,,
179,Ann Soforth,,,,,
179,Ann Soforth,,,,,
180,the soldier,,,,,
181,the soldier,,,,,
181,the soldier,,,,,
181,we,,,,,
182,the officers,,,,,
183,one,,,,,
184,I,,,,,
184,I,,,,,
185,the creature,,,,,
185,the creature,,,,,
185,the creature,,,,,
185,the creature,,,,,
186,furnace,,,,,
186,the creature,,,,,
186,the creature,,,,,
186,smoke,,,,,
186,the creature,,,,,
187,the creature,,,,,
187,thing,,,,,
188,The officers,,,,,
188,The officers,,,,,
188,I,,,,,
188,I,,,,,
188,I,,,,,
188,The officers,,,,,
188,The officers,,,,,
189,Captain Jo Buttons,,,,,
189,the Rak,,,,,
189,the Rak,,,,,
189,the Rak,,,,,
190,Jo Files,,,,,
191,I,,,,,
191,that,,,,,
191,I.,,,,,
192,Jo Files,,,,,
192,Jo Files,,,,,
193,We,,,,,
194,the cloud,,,,,
194,the cloud,,,,,
194,We,,,,,
195,They all,,,,,
196,the cloud,,,,,
196,the cloud,,,,,
196,the cloud,,,,,
197,Every nose,,,,,
197,every one,,,,,
198,Private Files,,,,,
198,the sixteen officers,,,,,
199,Queen Ann Soforth,,,,,
200,Jo Files,,,,,
200,Jo Files,,,,,
200,a soldier,,,,,
202,balls,,,,,
202,Jo Files,,,,,
202,balls,,,,,
203,He,,,,,
203,He,,,,,
203,He,,,,,
205,several bullets in the gun,,,,,
205,the sixteen officers,,,,,
207,the monster,,,,,
208,you,,,,,
209,you,,,,,
209,you,,,,,
209,by your breath,,,,,
209,the cloud formed by your breath,,,,,
210,the Rak,,,,,
210,the Rak,,,,,
211,you,,,,,
212,you,,,,,
212,you,,,,,
214,One,,,,,
214,you,,,,,
215,You,,,,,
215,you,,,,,
216,Another bullet,,,,,
216,you,,,,,
216,another,,,,,
216,you,,,,,
217,you,,,,,
218,you,,,,,
218,you,,,,,
218,officers,,,,,
218,Jo Files,,,,,
219,officers,,,,,
219,you 's great weight,,,,,
219,officers,,,,,
220,you,,,,,
220,you,,,,,
221,you,,,,,
221,you,,,,,
221,officers,,,,,
221,you,,,,,
222,you,,,,,
222,you,,,,,
222,you,,,,,
223,the Rak,,,,,
223,the Rak,,,,,
223,the officers,,,,,
223,the officers,,,,,
223,the officers,,,,,
224,Private Files,,,,,
224,the officers,,,,,
224,Private Files,,,,,
224,the officers,,,,,
224,Private Files,,,,,
